episode_reward,moving_avg
-59.14444473385811,-44.90542985796928
-34.535600394010544,-44.260765029489995
-36.9779808819294,-44.0208484172821
-51.880710542201996,-45.78132305145264
-30.233227089047432,-45.60779863446951
-50.54883009195328,-47.12681948542595
-38.87941113114357,-45.074550503492354
-30.122225999832153,-42.390201434493065
-31.293373331427574,-42.15485464632511
-31.308394715189934,-39.4924198910594
-31.494170039892197,-36.727392421662806
-44.19764071702957,-37.69359645396471
-29.268406972289085,-36.92263906300068
-33.441914424300194,-35.0787594512105
-36.007920160889626,-35.65622875839472
-31.017717629671097,-33.7031175121665
-62.41424497961998,-36.05660089701414
-38.685826659202576,-36.91296096295118
-55.78076234459877,-39.3616998642683
-55.99706420302391,-41.8305668130517
-30.19535242021084,-41.70068505108357
-61.23194482922554,-43.40411546230316
-34.320356264710426,-43.9093103915453
-35.15281945466995,-44.08040089458227
-35.7869935631752,-44.05830823481083
-52.62972113490105,-46.21950858533383
-31.592414289712906,-43.13732551634312
-32.5536650121212,-42.524109351634976
-54.89987814426422,-42.436020931601526
-32.40431410074234,-40.076745921373366
-35.845998629927635,-40.64181054234505
-46.224068105220795,-39.14102286994457
-60.756104707717896,-41.78459771424532
-57.765853583812714,-44.045901127159595
-31.825865015387535,-43.64978827238083
-32.90343618392944,-41.67715977728367
-57.67163974046707,-44.28508232235909
-33.271696999669075,-44.356885521113874
-53.92416599392891,-44.25931430608034
-30.026773288846016,-44.021560224890706
-43.08379265666008,-44.74533962756395
-60.719663351774216,-46.19489915221929
-45.73077344894409,-44.692366026341915
-35.04908990859985,-42.42068965882063
-31.871594205498695,-42.425262577831745
-54.63937523961067,-44.59885648339987
-46.78319416940212,-43.51001192629337
-31.367790937423706,-43.31962132006883
-54.151533007621765,-43.34235802143812
-32.66871866583824,-43.60655255913734
-38.631001710891724,-43.16127346456051
-47.927299201488495,-41.88203704953194
-34.77824482321739,-40.78678418695927
-32.16550451517105,-40.498425647616386
-60.022149711847305,-43.313481198251246
-32.30782449245453,-41.080326123535635
-55.65707013010979,-41.9677137196064
-32.31853327155113,-42.06278795301914
-40.62498377263546,-40.71013302952051
-37.05211588740349,-41.14847275167703
-58.394164741039276,-43.12478905469179
-52.94216373562813,-43.626275508105756
-56.380144238471985,-45.786465449631216
-40.67095036804676,-46.63701003491879
-36.213020637631416,-44.2560971274972
-51.735249012708664,-46.19883957952261
-54.64019250869751,-46.09715181738138
-56.485983699560165,-48.513896860182285
-33.13394170999527,-47.76479265391826
-50.99528703093529,-49.15910976827145
-28.69674640893936,-46.189367935061455
-55.03706827759743,-46.398858389258386
-39.26889097690582,-44.68773306310177
-46.11131492257118,-45.23176951855421
-37.20682665705681,-45.33115012049675
-31.955372408032417,-43.353162460029125
-48.82168671488762,-42.771311880648135
-51.080817729234695,-42.23079528361559
-35.265807673335075,-42.44398187994957
-45.628414303064346,-41.90729460716248
-45.67656987905502,-43.605276954174045
-35.9123230278492,-41.69280242919922
-32.93042212724686,-41.05895554423332
-29.598050624132156,-39.40762911438942
-39.32537558674812,-39.61948400735855
-55.62989282608032,-41.98693604916334
-47.55115336179733,-41.85988271385431
-34.0689484924078,-40.15869579017162
-57.28664466738701,-42.360779489576814
-28.22563947737217,-40.6205020070076
-39.18429081141949,-39.971274100244045
-40.10813032090664,-40.39085482954979
-34.293990194797516,-40.527211636304855
-36.87718749046326,-41.255125322937964
-55.77942422032356,-42.90053018629551
-33.03993093967438,-40.64153399765492
-59.581799268722534,-41.84459858834744
-35.43697106838226,-41.98140084594488
-51.49289655685425,-41.402026034891605
-55.190250009298325,-44.09848708808422
-42.727060958743095,-44.45276410281658
-35.04853004217148,-43.94680407494307
-35.215522080659866,-44.0389572635293
-50.15000841021538,-45.36623935550451
-44.903289914131165,-44.278625924885276
-32.827820017933846,-44.25741483271122
-43.28607678413391,-42.627842584252356
-48.266244292259216,-43.910769906640056
-59.090305268764496,-44.670510777831076
-37.518099561333656,-42.90329573303461
-44.625233858823776,-43.093113023042676
-32.73797324299812,-42.86205734312534
-56.12079608440399,-44.952584743499756
-28.98078115284443,-42.83566201776266
-36.36454439163208,-41.98178746551275
-54.515988260507584,-44.15060428977013
-59.23653829097748,-45.74565044045448
-35.448098599910736,-44.463835871219636
-39.27735671401024,-42.48254101574421
-56.77759090065956,-44.4084901496768
-31.401545211672783,-43.0861212849617
-34.5740612745285,-43.26973008811474
-32.21099716424942,-40.87875019609928
-34.67812390625477,-41.44848447144032
-33.720130026340485,-41.184043034911156
-53.241119384765625,-41.05655614733696
-33.329885587096214,-38.46589087694883
-30.848258048295975,-38.005906821787356
-35.35135327279568,-37.6133064776659
